text_v2;lemma_text;pos_seq
мене тішить високий рівень безпеки на дорогах у нашому регіоні | влада приділяє значну увагу ремонту та облаштуванню доріг;я тішити високий рівень безпека на дорога у наш регіон | влада приділяти значний увага ремонт та облаштування дорога;PRON VERB ADJ NOUN NOUN ADP NOUN ADP DET NOUN PUNCT NOUN VERB ADJ NOUN NOUN CCONJ NOUN NOUN
мене приваблює наявність зручних пішохідних зон та велосипедних доріжок у нашому місті | це сприяє популяризації здорового способу життя та зменшенню забруднення навколишнього середовища1;я приваблювати наявність зручний пішохідний зона та велосипедний доріжка у наш місто | це сприяти популяризація здоровий спосіб життя та зменшення забруднення навколишній середовища1;PRON VERB NOUN ADJ ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN PUNCT PRON VERB NOUN ADJ NOUN NOUN CCONJ NOUN NOUN ADJ NOUN
я розчарована незадовільним станом доріг у нашому регіоні | більшість з них перебуває в жахливому стані;я розчарований незадовільний стан дорога у наш регіон | більшість з вони перебувати в жахливий стан;PRON ADJ ADJ NOUN NOUN ADP DET NOUN PUNCT NOUN ADP PRON VERB ADP ADJ NOUN
я незадоволений відсутністю належної інфраструктури для пішоходів та велосипедистів | у місті майже немає пішохідних зон;я незадоволений відсутність належний інфраструктура для пішохід та велосипедист | у місто майже немати пішохідний зона;PRON ADJ NOUN ADJ NOUN ADP NOUN CCONJ NOUN PUNCT ADP NOUN ADV VERB ADJ NOUN
мене дратує застаріле транспортне сполучення з іншими населеними пунктами | автобусні та залізничні маршрути не відповідають потребам мешканців;я дратувати застарілий транспортний сполучення з інший населений пункт | автобусний та залізничний маршрут не відповідати потреба мешканець;PRON VERB ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT ADJ CCONJ ADJ NOUN PART VERB NOUN NOUN
мене тішить високий професіоналізм викладацького складу у наших школах та університетах | педагоги постійно вдосконалюють свої знання та застосовують інноваційні методики навчання;я тішити високий професіоналізм викладацький склад у наш школа та університет | педагога постійно вдосконалювати свій знання та застосовувати інноваційний методика навчання;PRON VERB ADJ NOUN ADJ NOUN ADP DET NOUN CCONJ NOUN PUNCT NOUN ADV VERB DET NOUN CCONJ VERB ADJ NOUN NOUN
я пишаюся науковими досягненнями вчених нашого регіону | їхні відкриття та розробки мають світове визнання та високо цінуються у відповідних галузях | це сприяє підвищенню престижу нашого міста на міжнародній арені1;я пишатися науковий досягнення вчений наш регіон | їхній відкриття та розробка мати світовий визнання та високо цінуватися у відповідний галузь | це сприяти підвищення престиж наш місто на міжнародний арені1;PRON VERB ADJ NOUN NOUN DET NOUN PUNCT DET NOUN CCONJ NOUN VERB ADJ NOUN CCONJ ADV VERB ADP ADJ NOUN PUNCT PRON VERB NOUN NOUN DET NOUN ADP ADJ NOUN
я розчарована низьким рівнем освіти в державних навчальних закладах нашого регіону | багато шкіл та університетів не відповідають сучасним стандартам;я розчарований низький рівень освіта в державний навчальний заклад наш регіон | багато школа та університет не відповідати сучасний стандарт;PRON ADJ ADJ NOUN NOUN ADP ADJ ADJ NOUN DET NOUN PUNCT DET NOUN CCONJ NOUN PART VERB ADJ NOUN
мене дратує недостатнє фінансування сфери освіти та науки у нашому регіоні | через брак коштів заклади не можуть оновлювати матеріальнотехнічну базу;я дратувати недостатній фінансування сфера освіта та наука у наш регіон | через брак кошти заклад не могти оновлювати матеріальнотехнічний база;PRON VERB ADJ NOUN NOUN NOUN CCONJ NOUN ADP DET NOUN PUNCT ADP NOUN NOUN NOUN PART VERB VERB ADJ NOUN
я пишаюся культурною спадщиною та традиціями нашого міста | влада приділяє значну увагу збереженню історичних памяток;я пишатися культурний спадщина та традиції наш місто | влада приділяти значний увага збереження історичний памятко;PRON VERB ADJ NOUN CCONJ NOUN DET NOUN PUNCT NOUN VERB ADJ NOUN NOUN ADJ NOUN
я незадоволений недостатньою увагою до збереження історикокультурної спадщини регіону | багато памяток архітектури руйнуються;я незадоволений недостатній увага до збереження історикокультурний спадщина регіон | багато памятко архітектура руйнуватися;PRON ADJ ADJ NOUN ADP NOUN ADJ NOUN NOUN PUNCT DET NOUN NOUN VERB
я критично ставлюся до нераціонального використання бюджетних коштів у сфері культури | значні суми витрачаються на неефективні проєкти;я критично ставитися до нераціональний використання бюджетний кошти у сфера культура | значний сума витрачатися на неефективний проєкт;PRON ADV VERB ADP ADJ NOUN ADJ NOUN ADP NOUN NOUN PUNCT ADJ NOUN VERB ADP ADJ NOUN
я незадоволена низькою якістю обслуговування у багатьох закладах нашого міста | персонал часто некваліфікований;я незадоволений низький якість обслуговування у багато заклад наш місто | персонал часто некваліфікований;PRON ADJ ADJ NOUN NOUN ADP DET NOUN DET NOUN PUNCT NOUN ADV ADJ
я незадоволений застарілими методами роботи та відсутністю інновацій у багатьох організаціях сфери послуг | вони не прагнуть модернізуватися та підвищувати рівень сервісу;я незадоволений застарілий метод робота та відсутність інновація у багато організація сфера послуга | вони не прагнути модернізуватися та підвищувати рівень сервіс;PRON ADJ ADJ NOUN NOUN CCONJ NOUN NOUN ADP DET NOUN NOUN NOUN PUNCT PRON PART VERB VERB CCONJ VERB NOUN NOUN
мене дратують завищені ціни на певні види послуг у нашому регіоні | багато людей не можуть собі їх дозволити;я дратувати завищений ціна на певний вид послуга у наш регіон | багато людина не могти себе вони дозволити;PRON VERB ADJ NOUN ADP ADJ NOUN NOUN ADP DET NOUN PUNCT DET NOUN PART VERB PRON PRON VERB
я критично ставлюся до недобросовісної конкуренції та монополізації окремих сегментів ринку послуг | це призводить до зловживань з боку деяких компаній та погіршує якість обслуговування0;я критично ставитися до недобросовісний конкуренція та монополізація окремий сегмент ринок послуга | це призводити до зловживання з бік деякий компанія та погіршувати якість обслуговування0;PRON ADV VERB ADP ADJ NOUN CCONJ NOUN ADJ NOUN NOUN NOUN PUNCT PRON VERB ADP NOUN ADP NOUN DET NOUN CCONJ VERB NOUN NOUN
мене тішить доступність медичних послуг для населення | у нашому місті функціонують державні та приватні клініки;я тішити доступність медичний послуга для населення | у наш місто функціонувати державний та приватний клініка;PRON VERB NOUN ADJ NOUN ADP NOUN PUNCT ADP DET NOUN VERB ADJ CCONJ ADJ NOUN
я пишаюся науковими досягненнями місцевих медиків та їхнім внеском у розвиток світової медицини | їхні інноваційні розробки допомагають рятувати життя людей та боротися з важкими захворюваннями1;я пишатися науковий досягнення місцевий медик та їхній внесок у розвиток світовий медицина | їхній інноваційний розробка допомагати рятувати життя людина та боротися з важкий захворювання 1;PRON VERB ADJ NOUN ADJ NOUN CCONJ DET NOUN ADP NOUN ADJ NOUN PUNCT DET ADJ NOUN VERB VERB NOUN NOUN CCONJ VERB ADP ADJ NOUN NUM
я високо ціную комфортні умови перебування у медичних закладах нашого міста | тут панує атмосфера турботи та уваги до пацієнтів;я високо цінувати комфортний умова перебування у медичний заклад наш місто | тут панувати атмосфера турбота та увага до пацієнт;PRON ADV VERB ADJ NOUN NOUN ADP ADJ NOUN DET NOUN PUNCT ADV VERB NOUN NOUN CCONJ NOUN ADP NOUN
я незадоволена низькою якістю медичних послуг у державних установах нашого регіону | тут часто спостерігається застаріле обладнання;я незадоволений низький якість медичний послуга у державний установа наш регіон | тут часто спостерігатися застарілий обладнання;PRON ADJ ADJ NOUN ADJ NOUN ADP ADJ NOUN DET NOUN PUNCT ADV ADV VERB ADJ NOUN
мене засмучує обмежений доступ до висококваліфікованої медичної допомоги для малозабезпечених верств населення | приватні клініки пропонують якісне обслуговування;я засмучувати обмежений доступ до висококваліфіфіфовай медичний допомога для малозабезпечений верств населення | приватний клініка пропонувати якісний обслуговування;PRON VERB ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ NOUN NOUN PUNCT ADJ NOUN VERB ADJ NOUN
я розчарований недостатньою увагою до розвитку медичної інфраструктури у нашому регіоні | багато лікарень перебувають у занедбаному стані;я розчарований недостатній увага до розвиток медичний інфраструктура у наш регіон | багато лікарня перебувати у занедбаний стан;PRON ADJ ADJ NOUN ADP NOUN ADJ NOUN ADP DET NOUN PUNCT DET NOUN VERB ADP ADJ NOUN
мене дратує дефіцит медичних кадрів у нашому місті | через низьку заробітну плату багато досвідчених лікарів та медсестер змушені шукати роботу в інших регіонах або за кордоном0;я дратувати дефіцит медичний кадри у наш місто | через низький заробітний плата багато досвідчений лікар та медсестер змушений шукати робота в інший регіон або за кордон;PRON VERB NOUN ADJ NOUN ADP DET NOUN PUNCT ADP ADJ ADJ NOUN DET ADJ NOUN CCONJ NOUN ADJ VERB NOUN ADP DET NOUN CCONJ ADP NOUN
я критично ставлюся до неефективного розподілу фінансування в системі охорони здоровя | великі суми витрачаються на адміністративні потреби;я критично ставитися до неефективний розподіл фінансування в система охорона здоровя | великий сума витрачатися на адміністративний потреба;PRON ADV VERB ADP ADJ NOUN NOUN ADP NOUN NOUN NOUN PUNCT ADJ NOUN VERB ADP ADJ NOUN
я високо ціную зусилля місцевої влади зі створення привабливого іміджу нашого міста та популяризації його туристичного потенціалу | це сприяє притоку інвестицій;я високо цінувати зусилля місцевий влада зі створення привабливий імідож наш місто та популяризація його туристичний потенціал | це сприяти приток інвестиція;PRON ADV VERB NOUN ADJ NOUN ADP NOUN ADJ NOUN DET NOUN CCONJ NOUN DET ADJ NOUN PUNCT PRON VERB NOUN NOUN
я розчарована станом багатьох визначних памяток та історичних місць у нашому регіоні | вони перебувають у занедбаному стані через брак фінансування та недбале ставлення влади0;я розчарований стан багато визначний памятко та історичний місце у наш регіон | вони перебувати у занедбаний стан через брак фінансування та недбалий ставлення влади0;PRON ADJ NOUN DET ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN PUNCT PRON VERB ADP ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN NOUN
мене дратує забруднення природних обєктів через недбале ставлення відвідувачів та відсутність належного контролю | сміття та вандалізм руйнують красу наших ландшафтів0;я дратувати забруднення природний обєкт через недбалий ставлення відвідувач та відсутність належний контроль | сміття та вандалізм руйнувати краса наш ландшафтів;PRON VERB NOUN ADJ NOUN ADP ADJ NOUN NOUN CCONJ NOUN ADJ NOUN PUNCT NOUN CCONJ NOUN VERB NOUN DET NOUN
я критично ставлюся до неефективного просування туристичного потенціалу нашого регіону | брак рекламних кампаній;я критично ставитися до неефективний просування туристичний потенціал наш регіон | брак рекламний кампанії;PRON ADV VERB ADP ADJ NOUN ADJ NOUN DET NOUN PUNCT NOUN ADJ NOUN
я дуже задоволена рівнем безпеки у нашому місті | тут панує атмосфера спокою та порядку;я дуже задоволений рівень безпека у наш місто | тут панувати атмосфера спокій та порядок;PRON ADV ADJ NOUN NOUN ADP DET NOUN PUNCT ADV VERB NOUN NOUN CCONJ NOUN
мене тішить професіоналізм та відданість роботі працівників поліції та інших силових структур у нашому регіоні | вони чесно служать закону та завжди готові прийти на допомогу громадянам у скрутних ситуаціях1;я тішити професіоналізм та відданість робота працівник поліція та інший силовий структура у наш регіон | вони чесно служити закон та завжди готовий прийти на допомога громадянин у скрутний ситуаціях1;PRON VERB NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN PUNCT PRON ADV VERB NOUN CCONJ ADV ADJ VERB ADP NOUN NOUN ADP ADJ NOUN
я пишаюся високим рівнем правової культури та свідомості мешканців нашого міста | люди шанують закон;я пишатися високий рівень правовий культура та свідомість мешканець наш місто | людина шанувати закон;PRON VERB ADJ NOUN ADJ NOUN CCONJ NOUN NOUN DET NOUN PUNCT NOUN VERB NOUN
мене надихає ефективна робота місцевої влади в питаннях забезпечення безпеки громадян | тут регулярно проводяться профілактичні заходи;я надихати ефективний робота місцевий влада в питання забезпечення безпека громадянин | тут регулярно проводитися профілактичний захід;PRON VERB ADJ NOUN ADJ NOUN ADP NOUN NOUN NOUN NOUN PUNCT ADV ADV VERB ADJ NOUN
мене засмучує непрофесіоналізм та безвідповідальність частини працівників правоохоронних органів | вони часто зловживають службовим становищем;я засмучувати непрофесіоналізм та безвідповідальність частина працівник правоохоронний орган | вони часто зловживати службовий становище;PRON VERB NOUN CCONJ NOUN NOUN NOUN ADJ NOUN PUNCT PRON ADV VERB ADJ NOUN
я розчарований низькою правовою культурою багатьох мешканців нашого регіону | люди нехтують правилами;я розчарований низький правовий культура багато мешканець наш регіон | людина нехтувати правило;PRON ADJ ADJ ADJ NOUN DET NOUN DET NOUN PUNCT NOUN VERB NOUN
мене дратує пасивність місцевої влади у питаннях забезпечення правопорядку та безпеки | через бездіяльність чиновників злочинність залишається невирішеною проблемою;я дратувати пасивність місцевий влада у питання забезпечення правопорядка та безпека | через бездіяльність чиновник злочинність залишатися невирішений проблема;PRON VERB NOUN ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN PUNCT ADP NOUN NOUN NOUN VERB ADJ NOUN
я критично ставлюся до поширення корупційних схем у правоохоронній системі нашого міста | хабарництво та зловживання службовим становищем підривають довіру громадян до органів захисту правопорядку0;я критично ставитися до поширення корупційний схема у правоохоронній система наш місто | хабарництво та зловживання службовий становище підривати довір громадянин до орган захист правопорядку;PRON ADV VERB ADP NOUN ADJ NOUN ADP ADJ NOUN DET NOUN PUNCT NOUN CCONJ NOUN ADJ NOUN VERB NOUN NOUN ADP NOUN NOUN NOUN
я пишаюся успіхами місцевих атлетів на міжнародних турнірах і олімпійських іграх | їхні перемоги приносять славу нашому регіону та надихають молоде покоління на заняття спортом1;я пишатися успіх місцевий атлет на міжнародний турнір і олімпійський ігома | їхній перемога приносити слава наш регіон та надихати молодий покоління на заняття спортом1;PRON VERB NOUN ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN PUNCT DET NOUN VERB NOUN DET NOUN CCONJ VERB ADJ NOUN ADP NOUN NOUN
я високо ціную зусилля тренерів та фахівців у сфері фізичної культури;я високо цінувати зусилля тренер та фахівець у сфера фізичний культура;PRON ADV VERB NOUN NOUN CCONJ NOUN ADP NOUN ADJ NOUN
я незадоволена станом спортивної інфраструктури у нашому місті | багато спортивних обєктів перебувають у занедбаному стані;я незадоволений стан спортивний інфраструктура у наш місто | багато спортивний обєкт перебувати у занедбаний стан;PRON ADJ NOUN ADJ NOUN ADP DET NOUN PUNCT DET ADJ NOUN VERB ADP ADJ NOUN
мене засмучує байдужість місцевої влади до підтримки видатних спортсменів | через брак коштів талановиті атлети не мають належних умов для тренувань і участі у змаганнях;я засмучувати байдужість місцевий влада до підтримка видатний спортсмен | через брак кошти талановитий атлета не мати належний умова для тренування і участь у змагання;PRON VERB NOUN ADJ NOUN ADP NOUN ADJ NOUN PUNCT ADP NOUN NOUN ADJ NOUN PART VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN
мене дратує хамське та безвідповідальне ставлення деяких тренерів до вихованців у спортивних секціях | їхні методи часто агресивні та антипедагогічні;я дратувати хамський та безвідповідальний ставлення деякий тренер до вихованець у спортивний секція | їхній метод часто агресивний та антипедагогічний;PRON VERB ADJ CCONJ ADJ NOUN DET NOUN ADP NOUN ADP ADJ NOUN PUNCT DET NOUN ADV ADJ CCONJ ADJ
мене тішить професіоналізм та відповідальність працівників комунальних служб | ремонтники швидко усувають пошкодження мереж;я тішити професіоналізм та відповідальність працівник комунальний служба | ремонтник швидко усувати пошкодження мереж;PRON VERB NOUN CCONJ NOUN NOUN ADJ NOUN PUNCT NOUN ADV VERB NOUN NOUN
мене надихає екологічний підхід до надання комунальних послуг | у нашому регіоні запроваджені програми з роздільного збору сміття;я надихати екологічний підхід до надання комунальний послуга | у наш регіон запроваджений програма з роздільний збір сміття;PRON VERB ADJ NOUN ADP NOUN ADJ NOUN PUNCT ADP DET NOUN ADJ NOUN ADP ADJ NOUN NOUN
я високо ціную прозорість і відкритість комунальних підприємств перед громадою | вони регулярно звітують про свою діяльність;я високо цінувати прозорість і відкритість комунальний підприємство перед громада | вони регулярно звітувати про свій діяльність;PRON ADV VERB NOUN CCONJ NOUN ADJ NOUN ADP NOUN PUNCT PRON ADV VERB ADP DET NOUN
я критикую відсутність прозорості в діяльності комунальних підприємств | вони приховують реальні фінансові показники;я критикувати відсутність прозорість в діяльність комунальний підприємство | вони приховувати реальний фінансовий показник;PRON VERB NOUN NOUN ADP NOUN ADJ NOUN PUNCT PRON VERB ADJ ADJ NOUN
я дуже задоволена активним дорожнім будівництвом у нашому регіоні | минулого року було повністю відремонтовано траси м06 та н08 із застосуванням найновітніших технологій;я дуже задоволений активний дорожній будівництво у наш регіон | минулий рік бути повністю відремонтувати траса м06 та н08 із застосування найновітніший технологія;PRON ADV ADJ ADJ ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN AUX ADV VERB NOUN NOUN CCONJ PROPN ADP NOUN ADJ NOUN
я високо ціную зусилля місцевої влади зі збереження історичної забудови під час реконструкції вулиць | наприклад;я високо цінувати зусилля місцевий влада зі збереження історичний забудова під час реконструкція вулиця | наприклад;PRON ADV VERB NOUN ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN NOUN NOUN PUNCT ADV
я критикую неефективне використання бюджетних коштів на дорожнє будівництво | величезні суми марнуються на проєкти сумнівної важливості;я критикувати неефективний використання бюджетний кошти на дорожній будівництво | величезний сума марнуватися на проєкт сумнівний важливість;PRON VERB ADJ NOUN ADJ NOUN ADP ADJ NOUN PUNCT ADJ NOUN VERB ADP NOUN ADJ NOUN
я задоволена роботою нашої місцевої житловоексплуатаційної контори | вони оперативно реагують на заявки мешканців;я задоволений робота наш місцевий житловоекспуатаційний контора | вони оперативний реагувати на заявка мешканець;PRON ADJ NOUN DET ADJ ADJ NOUN PUNCT PRON ADV VERB ADP NOUN NOUN
мене надихають масштабні проєкти з будівництва нового комфортного житла | минулоріч було здано два сучасні багатоквартирні комплекси акватор та парксіті з власною закритою територією;я надихати масштабний проєкт з будівництво новий комфортний житло | минулоріч бути здати два сучасний багатоквартирний комплекс акватор та парксіт з власний закритий територія;PRON VERB ADJ NOUN ADP NOUN ADJ ADJ NOUN PUNCT NOUN AUX VERB NUM ADJ ADJ NOUN NOUN CCONJ NOUN ADP ADJ ADJ NOUN
я високо ціную зусилля місцевої влади з підвищення енергоефективності житлового фонду | цього року виділено значні кошти на утеплення будинків та заміну застарілих комунікацій | це допоможе скоротити витрати на опалення майже вдвічі1;я високо цінувати зусилля місцевий влада з підвищення енергоефективність житловий фонд | цей рік виділити значний кошти на утеплення будинок та замін застарілий комунікація | це допомогти скоротити витрата на опалення майже вдвічі1;PRON ADV VERB NOUN ADJ NOUN ADP NOUN NOUN ADJ NOUN PUNCT DET NOUN VERB ADJ NOUN ADP NOUN NOUN CCONJ NOUN ADJ NOUN PUNCT PRON VERB VERB NOUN ADP NOUN ADV NOUN
я обурений хабарництвом та безгосподарністю в місцевих житловокомунальних службах | чиновники вимагають неофіційні внески за будьяку послугу;я обурений хабарництво та безгосподарність в місцевий житловокомунальний служба | чиновник вимагати неофіційний внесок за будьякий послуга;PRON ADJ NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT NOUN VERB ADJ NOUN ADP ADJ NOUN
я критикую недбале ставлення до стану прибудинкових територій та благоустрою дворів | більшість дитячих майданчиків застаріли та непридатні для ігор;я критикувати недбалий ставлення до стан прибудинковий територія та благоустрій двір | більшість дитячий майданчик застаріти та непридатний для гра;PRON VERB ADJ NOUN ADP NOUN ADJ NOUN CCONJ NOUN NOUN PUNCT NOUN ADJ NOUN VERB CCONJ ADJ ADP NOUN
